71,43
71,47
71,50
71,55
72,55
74,59
72,59
74,52
76,52
69,42
69,45
69,50
69,54
71,54
72,57
71,57
72,50
74,50
67,71,40
67,71,43
67,71,47
79,71,52
79,72,52
79,74,47
79,72,47
79,74,49
79,76,49
79,69,38
81,69,42
79,69,42
78,69,45
79,69,45
81,69,50
81,71,50
72,54
71,54
72,45
74,45
47,67
45,67
74,67,47
72,67,48
71,67,50
69,67,50
71,79,50
71,79,43
72,79,45
71,79,47
69,79,48
71,79,50
67,79,52
67,79,50
76,81,48
76,79,47
74,78,48
74,79,52
72,81,42
72,81,45
78,43
78,42
81,40
81,38
71,43
71,42
71,74,43
71,72,45
79,71,47
79,69,48
79,71,50
79,71,52
79,72,45
79,71,47
78,69,48
78,71,45
67,47
67,45
76,43
76,42
83,74,43
81,72,43
81,72,42
81,78,40
81,78,38
74,81,40
74,81,42
74,71,43
76,71,42
74,71,43
72,71,45
71,79,43
71,79,42
76,79,40
76,79,42
71,79,43
71,79,40
74,78,42
74,78,43
73,45
73,43
74,45
74,47
76,83,45
76,83,43
76,81,42
76,81,54
73,55
73,54
69,74,52
69,74,54
47,74
76,45
74,47
72,48
74,71,50
74,71,47
67,76,49
67,76,50
67,71,52
67,71,50
67,74,49
67,74,47
67,73,45
67,73,52
66,74,50
66,74,49
67,76,50
67,76,47
64,76,49
64,76,45
69,73,47
67,73,49
66,69,50
64,69,52
62,54
62,47
64,49
66,50
67,74,52
69,74,54
71,67,55
71,67,54
74,67,52
74,67,50
73,67,52
73,67,46
74,67,47
74,67,49
74,66,50
74,66,49
74,67,47
74,67,45
74,64,43
74,64,42
73,69,43
73,67,47
66,45
64,43
74,62,42
74,62,45
74,64,43
74,66,42
74,67,40
74,69,38
74,71,43
69,71,43
67,74,40
66,74,40
67,73,45
64,73,45
66,74,38
66,74,42
66,74,45
66,74,50
66,74,45
66,74,42
66,74,38
71,43
71,47
71,50
71,55
72,55
74,59
72,59
74,52
76,52
69,42
69,45
69,50
69,54
71,54
72,57
71,57
72,50
74,50
67,71,40
67,71,43
67,71,47
79,71,52
79,72,52
79,74,47
79,72,47
79,74,49
79,76,49
79,69,38
81,69,42
79,69,42
78,69,45
79,69,45
81,69,50
81,71,50
72,54
71,54
72,45
74,45
47,67
45,67
74,67,47
72,67,48
71,67,50
69,67,50
71,79,50
71,79,43
72,79,45
71,79,47
69,79,48
71,79,50
67,79,52
67,79,50
76,81,48
76,79,47
74,78,48
74,79,52
72,81,42
72,81,45
78,43
78,42
81,40
81,38
71,43
71,42
71,74,43
71,72,45
79,71,47
79,69,48
79,71,50
79,71,52
79,72,45
79,71,47
78,69,48
78,71,45
67,47
67,45
76,43
76,42
83,74,43
81,72,43
81,72,42
81,78,40
81,78,38
74,81,40
74,81,42
74,71,43
76,71,42
74,71,43
72,71,45
71,79,43
71,79,42
76,79,40
76,79,42
71,79,43
71,79,40
74,78,42
74,78,43
73,45
73,43
74,45
74,47
76,83,45
76,83,43
76,81,42
76,81,54
73,55
73,54
69,74,52
