79,43
79,42
79,43
79,45
79,47
79,43
79,81,50
79,81,48
78,81,50
76,81,52
74,81,54
72,81,50
71,81,55
71,81,54
71,79,52
71,78,54
71,76,55
71,74,52
71,72,57
71,72,55
69,72,54
67,72,55
66,72,57
64,72,54
62,72,59
62,72,57
62,71,55
62,69,57
62,67,59
62,66,55
62,64,60
62,64,59
60,64,57
59,64,55
57,64,54
55,64,52
57,64,54
57,64,52
57,62,54
57,60,50
57,59,52
57,57,54
57,59,55
55,59,52
59,59,50
57,59,48
55,59,47
54,59,45
55,59,43
55,57,54
67,60,52
67,59,50
67,57,48
67,55,47
67,57,49
67,57,45
66,69,50
64,69,52
62,69,54
60,69,50
59,69,55
62,69,54
67,67,52
69,66,54
70,64,55
70,62,52
70,61,57
70,64,55
69,69,54
67,71,55
66,72,57
64,72,54
62,72,59
62,72,57
62,71,55
62,69,57
62,67,59
62,66,57
62,64,56
61,64,56
59,64,44
62,64,44
61,64
59,64
61,64,45
59,62,45
57,61,33
55,64,33
54,62
52,61
54,62,38
54,60,38
59,50
57,48
55,47
54,45
79,55,43
79,55,42
79,43
79,45
79,47
79,43
79,81,50
79,81,48
78,81,50
76,81,52
74,81,54
72,81,50
71,81,55
71,81,54
71,79,52
71,78,54
71,76,55
71,74,52
71,72,57
71,72,55
69,72,54
67,72,55
66,72,57
64,72,54
62,72,59
62,72,57
62,71,55
62,69,57
62,67,59
62,66,55
62,64,60
62,64,59
60,64,57
59,64,55
57,64,54
55,64,52
57,64,54
57,64,52
57,62,54
57,60,50
57,59,52
57,57,54
57,59,55
55,59,52
59,59,50
57,59,48
55,59,47
54,59,45
55,59,43
55,57,54
67,60,52
67,59,50
67,57,48
67,55,47
67,57,49
67,57,45
66,69,50
64,69,52
62,69,54
60,69,50
59,69,55
62,69,54
67,67,52
69,66,54
70,64,55
70,62,52
70,61,57
70,64,55
69,69,54
67,71,55
66,72,57
64,72,54
62,72,59
62,72,57
62,71,55
62,69,57
62,67,59
62,66,57
62,64,56
61,64,56
59,64,44
62,64,44
61,64
59,64
61,64,45
59,62,45
57,61,33
55,64,33
54,62
52,61
54,62,38
54,62,42
54,62,45
81,50
81,49
81,50
81,52
81,54
81,50
81,83,55
81,83,54
79,83,52
78,83,54
76,83,55
74,83,52
73,83,57
73,83,55
72,81,54
72,79,55
72,78,57
72,76,54
72,75,59
72,75,57
71,74,56
69,74,57
68,74,59
66,74,56
64,74,60
64,74,59
64,72,57
64,71,59
64,69,60
64,67,59
64,66,58
63,66,58
61,66,46
64,66,46
63,66
61,66
63,66,47
61,64,47
59,63,35
57,66,35
55,64
54,63
55,64,40
55,62,40
60,52
59,50
57,48
56,47
60,57,45
60,57,48
60,52
60,55
60,54
60,52
60,62,54
57,62,54
59,62,43
55,62,43
59,62
62,62
64,62,55
64,59,55
64,60,45
64,57,45
64,60
64,64
64,66,57
61,66,57
62,66,47
59,66,47
62,66
66,66
67,66,59
67,63,59
67,64,48
67,60,48
67,64
67,67
67,69,49
66,69,49
64,69,37
67,69,37
66,69,49
64,69,49
66,69,50
64,67,50
62,66,38
60,69,38
59,67,50
57,66,50
55,67,43
55,66,43
64,55
62,54
60,52
59,55
81,57,54
81,57,52
81,50
81,52
81,54
81,50
81,83,55
81,83,54
79,83,52
78,83,54
76,83,55
74,83,52
73,83,57
73,83,55
72,81,54
72,79,55
72,78,57
72,76,54
72,75,59
72,75,57
71,74,56
69,74,57
68,74,59
66,74,56
64,74,60
64,74,59
64,72,57
64,71,59
64,69,60
64,67,59
64,66,58
63,66,58
61,66,46
64,66,46
63,66
61,66
63,66,47
61,64,47
59,63,35
57,66,35
55,64
54,63
55,64,40
55,62,40
60,52
59,50
57,48
56,47
60,57,45
60,57,48
60,52
60,55
60,54
60,52
60,62,54
57,62,54
59,62,43
55,62,43
59,62
62,62
64,62,55
64,59,55
64,60,45
64,57,45
64,60
64,64
64,66,57
61,66,57
62,66,47
59,66,47
62,66
66,66
67,66,59
67,63,59
67,64,48
67,60,48
67,64
67,67
67,69,49
66,69,49
64,69,37
67,69,37
66,69,49
64,69,49
66,69,50
64,67,50
62,66,38
60,69,38
59,67,50
57,66,50
59,67,43
59,67,50
59,67,55
