71
71,55
71,57
71,79,59
71,79,60
69,79,62
69,79,50
69,78,62
71,78,62
69,78,62
67,78
67,79,64
67,78,62
67,76,61
66,76,57
64,76,57
66,76,62
66,74,50
66,73,50
74,62
74,60
67,60
67,59
67,60
67,59
67,57
67,59
67,76,60
66,76,48
67,76,48
69,76,60
69,74,59
69,76,60
69,78,62
72,78,57
71,78,57
72,78,50
72,81,54
72,79,52
72,81,54
71,81,54
72,81,50
69,81,50
71,81,55
71,79,55
71,81,50
71,78,50
79,43
79,55
79,57
67,59
67,57
67,59
67,76,61
67,76,59
67,76,61
66,76,62
66,76,61
66,74,59
67,74,57
69,74,57
71,74,55
71,76,54
71,78,54
71,79,52
69,79,52
71,79,50
67,79,50
69,79,49
69,78,49
69,79,47
69,76,49
69,78,50
69,78,49
69,78,50
67,78,47
67,78,45
67,78,47
67,76,49
67,76,47
67,76,49
66,76,46
66,76,44
66,76,46
66,74,47
66,74,45
71,74,43
71,74,42
64,74,43
66,74,43
67,79,40
67,73,45
67,74,45
67,76,33
66,76,38
66,76,45
66,74,50
71
71,55
71,57
71,79,59
71,79,60
69,79,62
69,79,50
69,78,62
71,78,62
69,78,62
67,78
67,79,64
67,78,62
67,76,61
66,76,57
64,76,57
66,76,62
66,74,50
66,73,50
74,62
74,60
67,60
67,59
67,60
67,59
67,57
67,59
67,76,60
66,76,48
67,76,48
69,76,60
69,74,59
69,76,60
69,78,62
72,78,57
71,78,57
72,78,50
72,81,54
72,79,52
72,81,54
71,81,54
72,81,50
69,81,50
71,81,55
71,79,55
71,81,50
71,78,50
79,43
79,55
79,57
67,59
67,57
67,59
67,76,61
67,76,59
67,76,61
66,76,62
66,76,61
66,74,59
67,74,57
69,74,57
71,74,55
71,76,54
71,78,54
71,79,52
69,79,52
71,79,50
67,79,50
69,79,49
69,78,49
69,79,47
69,76,49
69,78,50
69,78,49
69,78,50
67,78,47
67,78,45
67,78,47
67,76,49
67,76,47
67,76,49
66,76,46
66,76,44
66,76,46
66,74,47
66,74,45
71,74,43
71,74,42
64,74,43
66,74,43
67,79,40
67,73,45
67,74,45
67,76,33
66,76,38
66,76,45
66,74,50
72
72,50
72,52
72,81,54
72,81,50
71,81,55
71,81,43
71,79,55
72,79,57
74,79,59
76,79,60
76,81,59
76,83,59
76,84,57
75,84,57
76,84,55
76,84,57
75,84,59
75,83,59
75,84,59
75,84,57
83,55
83,54
83,52
83,51
67,52
67,64
67,62
67,76,60
67,76,59
66,76,57
67,76,59
67,76,60
69,75,54
69,76,55
69,76,57
69,78,51
67,78,52
69,78,54
71,78,47
71,76,49
71,78,51
71,79,52
69,79,52
67,79,64
66,79,63
64,79,64
64,78,64
76,66
74,67
72,72,69
72,67
72,69
72,81,66
72,81,64
72,81,66
71,81,67
71,81,66
71,79,64
72,79,62
74,79,62
76,79,60
76,81,59
76,83,59
76,84,57
74,84,57
76,84,55
72,84,55
74,84,54
74,83,54
74,84,52
74,81,54
74,83,55
74,83,54
74,83,55
72,83,52
72,83,50
72,83,52
72,81,54
72,81,52
72,81,54
71,81,51
71,81,49
71,81,51
71,79,52
71,79,50
76,79,48
76,79,47
69,79,48
71,79,48
72,84,45
72,78,50
72,79,50
72,81,38
71,81,43
71,81,50
71,79,55
72
72,50
72,52
72,81,54
72,81,50
71,81,55
71,81,43
71,79,55
72,79,57
74,79,59
76,79,60
76,81,59
76,83,59
76,84,57
75,84,57
76,84,55
76,84,57
75,84,59
75,83,59
75,84,59
75,84,57
83,55
83,54
83,52
83,51
67,52
67,64
67,62
67,76,60
67,76,59
66,76,57
67,76,59
67,76,60
69,75,54
69,76,55
69,76,57
69,78,51
67,78,52
69,78,54
71,78,47
71,76,49
71,78,51
71,79,52
69,79,52
67,79,64
66,79,63
64,79,64
64,78,64
76,66
74,67
72,72,69
72,67
72,69
72,81,66
72,81,64
72,81,66
71,81,67
71,81,66
71,79,64
72,79,62
74,79,62
76,79,60
76,81,59
76,83,59
76,84,57
74,84,57
76,84,55
72,84,55
74,84,54
74,83,54
74,84,52
74,81,54
74,83,55
74,83,54
74,83,55
72,83,52
72,83,50
72,83,52
72,81,54
72,81,52
72,81,54
71,81,51
71,81,49
71,81,51
71,79,52
71,79,50
76,79,48
76,79,47
69,79,48
71,79,48
72,84,45
72,78,50
72,79,50
72,81,38
71,81,43
71,81,50
71,79,55
