43
58,43
60,43
62,43
63,55
62,55
60,55
58,55
57,54
69,57,54
70,63,54
72,63,54
74,57,53
72,57,53
70,62,53
69,62,53
67,62,52
67,55,52
74,57,52
74,58,52
67,60,51
67,58,51
72,57,51
72,55,51
72,57,50
66,57,45
67,46
69,48
70,50
69,50
67,57,38
66,57,38
67,58,43
67,58,50
57,52
57,54
58,55
58,53
67,59,51
67,59,50
68,60,48
68,62,48
67,63,47
67,62,47
68,60,48
68,58,48
69,57,49
69,55,49
70,66,50
72,66,50
74,46
72,46
70,48
69,48
67,62,50
66,62,50
75,62,55
60,55
58,55
60,55
62,54
72,64,55
72,66,57
72,67,58
72,67,60
70,66,62
69,66,62
70,67,55
72,69,55
74,70,67
76,70,67
77,70,62
77,69,62
76,67,62
76,70,62
77,69,62
79,67,62
81,65,60
81,64,60
81,64,58
81,62,58
81,64,58
79,62,58
79,64,58
79,62,58
77,64,57
77,62,57
77,64,57
77,62,57
81,61,57
79,62,58
77,64,58
76,65,55
74,65,55
74,64,57
73,64,57
71,64,52
73,64,52
74,53
73,53
74,53
73,53
71,55
73,57
74,59
76,64,61
76,64,57
74,65,62
74,65,53
64,55
64,57
65,50
65,60
74,66,58
74,66,57
75,67,55
75,67,46
74,69,48
74,69,50
75,70,43
75,70,55
76,69,55
76,69,49
77,69,50
77,69,57
79,67,62
79,65,62
81,64,62
81,62,62
79,64,62
79,64,61
79,62,62
79,62,58
78,62,57
76,62,55
74,54
73,57
74,54
74,50
43
58,43
60,43
62,43
63,55
62,55
60,55
58,55
57,54
69,57,54
70,63,54
72,63,54
74,57,53
72,57,53
70,62,53
69,62,53
67,62,52
67,55,52
74,57,52
74,58,52
67,60,51
67,58,51
72,57,51
72,55,51
72,57,50
66,57,45
67,46
69,48
70,50
69,50
67,57,38
66,57,38
67,58,43
67,58,50
57,52
57,54
58,55
58,53
67,59,51
67,59,50
68,60,48
68,62,48
67,63,47
67,62,47
68,60,48
68,58,48
69,57,49
69,55,49
70,66,50
72,66,50
74,46
72,46
70,48
69,48
67,62,50
66,62,50
75,62,55
60,55
58,55
60,55
62,54
72,64,55
72,66,57
72,67,58
72,67,60
70,66,62
69,66,62
70,67,55
72,69,55
74,70,67
76,70,67
77,70,62
77,69,62
76,67,62
76,70,62
77,69,62
79,67,62
81,65,60
81,64,60
81,64,58
81,62,58
81,64,58
79,62,58
79,64,58
79,62,58
77,64,57
77,62,57
77,64,57
77,62,57
81,61,57
79,62,58
77,64,58
76,65,55
74,65,55
74,64,57
73,64,57
71,64,52
73,64,52
74,53
73,53
74,53
73,53
71,55
73,57
74,59
76,64,61
76,64,57
74,65,62
74,65,53
64,55
64,57
65,50
65,60
74,66,58
74,66,57
75,67,55
75,67,46
74,69,48
74,69,50
75,70,43
75,70,55
76,69,55
76,69,49
77,69,50
77,69,57
79,67,62
79,65,62
81,64,62
81,62,62
79,64,62
79,64,61
79,62,62
79,62,58
78,62,57
76,62,55
74,54
73,57
74,54
74,50
50
70,50
69,62
67,62
66,62
67,62
69,60
66,60
62,59
80,62,59
79,64,58
77,65,58
76,67,58
77,67,58
79,60,57
76,60,55
72,57
72,67,57
74,65,56
75,63,56
77,62,56
77,65,56
70,63,55
70,67,55
65,50
77,65,50
75,67,51
74,67,51
72,68,53
75,68,53
74,68,46
77,68,46
75,68,51
75,67,51
77,68
77,70
79,63
79,62
79,63,51
79,67,51
79,60,56
77,62,56
79,63,56
80,60,56
74,65,56
72,65,56
74,58,55
77,58,53
70,58,55
72,58,55
74,56,55
70,55,55
75,56,55
75,56,53
68,65,51
68,65,50
68,65,51
68,65,43
67,63,44
65,62,46
67,63,39
67,63,43
75,45
75,47
75,48
75,54,48
74,55,48
72,57,48
74,55
74,54
52,48
50,48
62,46
64,60,46
65,62,46
67,62,46
65,55
64,55
62,46
60,46
72,45
70,43
72,63,45
72,62,46
66,60,45
66,58,43
57,42
55,40
54,38
54,48
74,50
72,51
70,50
69,48
67,62,46
65,62,45
63,62,43
63,62,53
60,55
60,56
59,55
59,53
72,60,51
72,62,50
72,63,48
72,63,47
70,55,48
70,55,49
69,54,50
69,54,51
70,62,50
72,62,48
74,62,46
74,60,45
74,58,45
65,57,46
65,58,46
65,55,47
63,56,48
63,55,48
72,55,50
72,54,50
72,55,43
70,55,50
69,55,50
67,55,46
69,55,46
66,55,50
67,55
67,50
67,46
67,43
50
70,50
69,62
67,62
66,62
67,62
69,60
66,60
62,59
80,62,59
79,64,58
77,65,58
76,67,58
77,67,58
79,60,57
76,60,55
72,57
72,67,57
74,65,56
75,63,56
77,62,56
77,65,56
70,63,55
70,67,55
65,50
77,65,50
75,67,51
74,67,51
72,68,53
75,68,53
74,68,46
77,68,46
75,68,51
75,67,51
77,68
77,70
79,63
79,62
79,63,51
79,67,51
79,60,56
