55
64,55
64,54
62,54
61,54
62,54
62,52
61,52
59,52
67,61,52
67,64,52
67,50,57
66,50,57
64,50,57
66,50,57
69,48,57
62,57,47
55,62,47
54,62,47
74,62,55,47
74,65,55,47
74,64,55,48
72,64,52,48
71,64,52,48
72,64,57,48
76,67,57,48
69,67,57,50
74,66,57,50
74,64,55,50
74,66,57,50
72,69,54,50
72,69,62,43
71,67,62,43
69,66,62,43
71,67,43
71,71,43
71,64,43
71,64,55
69,64,54
71,71,64,55
76,71,64,55
73,69,64,55
81,69,62,54
81,69,61,52
81,74,62,54
79,74,62,59
78,74,62,59
81,78,62,52
79,76,62,52
81,78,62,52
79,76,61,52
81,78,61,52
81,78,59,52
79,76,59,52
81,78,61,52
79,76,61,52
81,78,61,52
79,76,64,50
81,78,64,50
79,76,64,50
81,78,57,50
79,76,57,50
81,78,57,50
79,76,57,49
81,78,57,49
81,78,57,47
79,76,57,47
81,78,57,49
79,76,57,49
81,78,57,49
79,76,57,49
81,78,57,52
79,76,57,52
81,78,57,52
79,76,57,52
81,78,42
79,76,42
81,78,42
79,76,42
78,74,42
76,73,42
78,74,57,54
81,78,57,54
74,71,57,43
74,71,55,43
74,71,54,43
79,71,55,52
79,76,59,52
79,74,59,52
79,76,49,45
78,74,50,45
76,74,52,45
76,74,54,45
76,73,55,45
74,74,55,50
74,69,54,50
74,67,52,50
74,69,54,50
55
64,55
64,54
62,54
61,54
62,54
62,52
61,52
59,52
67,61,52
67,64,52
67,50,57
66,50,57
64,50,57
66,50,57
69,48,57
62,57,47
55,62,47
54,62,47
74,62,55,47
74,65,55,47
74,64,55,48
72,64,52,48
71,64,52,48
72,64,57,48
76,67,57,48
69,67,57,50
74,66,57,50
74,64,55,50
74,66,57,50
72,69,54,50
72,69,62,43
71,67,62,43
69,66,62,43
71,67,43
71,71,43
71,64,43
71,64,55
69,64,54
71,71,64,55
76,71,64,55
73,69,64,55
81,69,62,54
81,69,61,52
81,74,62,54
79,74,62,59
78,74,62,59
81,78,62,52
79,76,62,52
81,78,62,52
79,76,61,52
81,78,61,52
81,78,59,52
79,76,59,52
81,78,61,52
79,76,61,52
81,78,61,52
79,76,64,50
81,78,64,50
79,76,64,50
81,78,57,50
79,76,57,50
81,78,57,50
79,76,57,49
81,78,57,49
81,78,57,47
79,76,57,47
81,78,57,49
79,76,57,49
81,78,57,49
79,76,57,49
81,78,57,52
79,76,57,52
81,78,57,52
79,76,57,52
81,78,42
79,76,42
81,78,42
79,76,42
78,74,42
76,73,42
78,74,57,54
81,78,57,54
74,71,57,43
74,71,55,43
74,71,54,43
79,71,55,52
79,76,59,52
79,74,59,52
79,76,49,45
78,74,50,45
76,74,52,45
76,74,54,45
76,73,55,45
74,74,55,50
74,69,54,50
74,67,52,50
74,69,54,50
62
81,62
81,60
81,59
79,62
78,62
79,71,67
83,71,55
76,71,60
76,69,64
76,67,64
76,69,60
76,72,57
76,66,59
75,66,47
73,66,47
75,71,66,59
78,71,66,57
83,66,55
71,64,55
71,63,55
83,79,64,55
83,79,67,55
83,79,60,57
81,78,64,57
79,76,64,57
81,78,69,57
84,81,69,57
78,75,69,59
79,76,67,59
81,76,66,59
81,75,66,59
81,76,64,52
79,76,64,52
78,76,64,52
79,71,52
83,71,50
76,71,48
76,69,48
76,67,48
76,69,60
76,72,60
74,66,60
74,62,59
74,62,57
74,67,59
74,67,64
72,67,57
72,66,57
72,64,57
72,66,60,57
72,69,60,55
62,60,54
62,59,54
62,57,54
74,59,55
74,62,55
74,55,52
72,55,52
71,55,52
72,67,55,52
76,67,59,50
69,67,52,48
69,66,52,48
69,67,57,49
76,67,57,49
74,67,57,49
76,67,57,49
69,67,57,50
74,66,57,50
74,64,55,50
74,66,57,50
72,69,54,50
72,69,62,43
71,67,62,43
69,66,62,43
71,67,62,43
62
81,62
81,60
81,59
79,62
78,62
79,71,67
83,71,55
76,71,60
76,69,64
76,67,64
76,69,60
76,72,57
76,66,59
75,66,47
73,66,47
75,71,66,59
78,71,66,57
83,66,55
71,64,55
71,63,55
83,79,64,55
83,79,67,55
83,79,60,57
81,78,64,57
79,76,64,57
81,78,69,57
84,81,69,57
78,75,69,59
79,76,67,59
81,76,66,59
81,75,66,59
81,76,64,52
79,76,64,52
78,76,64,52
79,71,52
83,71,50
76,71,48
76,69,48
76,67,48
76,69,60
76,72,60
74,66,60
74,62,59
74,62,57
74,67,59
74,67,64
72,67,57
72,66,57
72,64,57
72,66,60,57
72,69,60,55
62,60,54
62,59,54
62,57,54
74,59,55
74,62,55
74,55,52
72,55,52
71,55,52
72,67,55,52
76,67,59,50
69,67,52,48
69,66,52,48
69,67,57,49
76,67,57,49
74,67,57,49
76,67,57,49
69,67,57,50
74,66,57,50
74,64,55,50
74,66,57,50
72,69,54,50
72,69,62,43
71,67,62,43
69,66,62,43
71,67,62,43
