58,55
74,58,55
75,58,55
74,58,55
73,58,55
74,58,55
74
82
82,62,55
81,62,55
79,62,55
77,62,55
75,60,55
74,60,55
74,58,55
73,58,55
73,57,55
72,57,55
74,57,54
72,57,54
71,57,54
72,57,54
72
80
80,60,53
79,60,53
77,60,53
75,60,53
73,58,53
72,58,53
72,56,53
71,56,53
71,55,53
70,55,53
72,55,52
70,55,52
69,55,52
70,55,52
78
79
79,58,51
73,58,51
73,57,51
74,57,51
74,55,51
67,55,51
67,55,50
69,55,50
70,55,50
69,54,50
69,52,50
54
57
57,51
60,51
60,50
54,50
54,48
57,48
57,46
62,54,46
63,55,46
62,55,46
61,55,46
62,55,46
62
74
74,55,46
72,55,46
70,55,46
69,55,46
67,50,47
65,50,47
68,53,47
68,55,47
62,55,47
65,56,47
63,56,47
65,55,48
63,55,48
62,55,48
63,55,48
63
75
75,57,48
74,57,48
72,57,48
70,57,48
69,52,49
67,52,49
70,55,49
70,57,49
64,57,49
67,58,49
66,58,49
67,57,50
66,57,50
64,57,50
66,57,50
71
72
75
73,57,50
74,57,50
66,57,50
70,55,50
69,55,50
62,55,50
63,54,50
59,54,50
60,54,50
60,54,43
58,54,43
57,54,43
58,55,43
58,54,43
55
50
50,43
51,43
51,46
50,46
55,46
55,50
54,50
60,50
60,55
62,60,55
64,58,55
66,57,55
67,58,55
70,58,55
69,58,62
69,67
70,67
70,67,65
71,67,65
72,67,63
73,67,63
73,67,62
74,67,62
75,67,61
76,67,61
76,66,57
82,66,57
81,66,57
79,66,57
78,62
76,62
74,62
74,65,60
86,65,58
85,65,58
85,65,57
84,65,57
83,65,55
82,65,55
82,64,60
81,64,60
80,64,60
80,53
81,53
81,63,54
74,63,54
72,63,54
70,63,54
72,63,55
69,63,55
70,63,55
67,63,55
65,62,56
64,62,56
65,62,56
74,62,56
67,62,57
65,62,57
67,62,57
65,62,57
64,62,57
65,62,57
64,61,58
57
62,57
61,57
62,57
64,55
65,55
67,55
69,55
70,53
69,53
74,53
74,52
73,52
76,52
76,53
69,53
70,62,53
69,62,53
68,62,53
69,62,53
69,62
81,62
81,63,54
82,63,54
81,63,54
80,63,54
81,63,54
63,54
74,63,54
72,63,54
70,63,54
72,63,55
63,55
72,63,55
70,63,55
69,63,55
69,55
70,55
72,64,55
70,64,55
69,64,55
70,64,55
70,64
82,64
82,65,56
75,65,56
74,65,56
73,65,56
74,65,56
84,65,56
83,65,56
83,65,57
74,65,57
73,57
70,57
70,66,57
69,66,57
75,66
74,66
74,67,57
73,67,57
76,67,57
79,67,57
82,67,61
81,67,61
81,67,57
79,67,57
77,67,57
76,67,57
74,67,57
73,67,57
73,67,62
74,66,62
74,64,62
66,62
66,60
58
57
58,55
74,58,55
75,58,55
74,58,55
73,58,55
74,58,55
74
82
82,62,55
81,62,55
79,62,55
77,62,55
75,60,55
74,60,55
74,58,55
73,58,55
73,57,55
72,57,55
74,57,54
72,57,54
71,57,54
72,57,54
72
80
80,60,53
79,60,53
77,60,53
75,60,53
73,58,53
72,58,53
72,56,53
71,56,53
71,55,53
70,55,53
72,55,52
70,55,52
69,55,52
70,55,52
78
79
79,58,51
73,58,51
73,57,51
74,57,51
74,55,51
67,55,51
67,55,50
69,55,50
70,55,50
69,54,50
69,52,50
54
57
57,51
60,51
60,50
54,50
54,48
57,48
57,46
62,54,46
63,55,46
62,55,46
61,55,46
62,55,46
62
74
74,55,46
72,55,46
70,55,46
69,55,46
67,50,47
65,50,47
68,53,47
68,55,47
62,55,47
65,56,47
63,56,47
65,55,48
63,55,48
62,55,48
63,55,48
63
75
75,57,48
74,57,48
72,57,48
70,57,48
69,52,49
67,52,49
70,55,49
70,57,49
64,57,49
67,58,49
66,58,49
67,57,50
66,57,50
64,57,50
66,57,50
71
72
75
73,57,50
74,57,50
66,57,50
70,55,50
69,55,50
62,55,50
63,54,50
59,54,50
60,54,50
60,54,43
58,54,43
57,54,43
58,55,43
58,54,43
55
50
50,43
51,43
51,46
50,46
55,46
55,50
54,50
60,50
60,55
62,60,55
64,58,55
66,57,55
67,58,55
70,58,55
69,58,62
69,67
70,67
70,67,65
71,67,65
72,67,63
73,67,63
73,67,62
74,67,62
75,67,61
76,67,61
76,66,57
82,66,57
81,66,57
79,66,57
78,62
76,62
74,62
74,65,60
86,65,58
85,65,58
85,65,57
84,65,57
83,65,55
82,65,55
82,64,60
81,64,60
80,64,60
80,53
81,53
81,63,54
74,63,54
72,63,54
70,63,54
72,63,55
69,63,55
70,63,55
67,63,55
65,62,56
64,62,56
65,62,56
74,62,56
67,62,57
65,62,57
67,62,57
65,62,57
64,62,57
65,62,57
64,61,58
57
62,57
61,57
62,57
64,55
65,55
67,55
69,55
70,53
69,53
74,53
74,52
73,52
76,52
76,53
69,53
70,62,53
69,62,53
68,62,53
69,62,53
69,62
81,62
81,63,54
82,63,54
81,63,54
80,63,54
81,63,54
63,54
74,63,54
72,63,54
70,63,54
72,63,55
63,55
72,63,55
70,63,55
69,63,55
69,55
70,55
72,64,55
70,64,55
69,64,55
70,64,55
70,64
82,64
82,65,56
75,65,56
74,65,56
73,65,56
74,65,56
84,65,56
83,65,56
83,65,57
74,65,57
73,57
70,57
70,66,57
69,66,57
75,66
74,66
74,67,57
73,67,57
76,67,57
79,67,57
82,67,61
81,67,61
81,67,57
79,67,57
77,67,57
76,67,57
74,67,57
73,67,57
73,67,62
74,66,62
74,64,62
66,62
66,57
50
62
81,62
82,65,62
81,65,62
80,65,62
81,65,62
75,65
74,65
74,66,60
76,66,60
78,66,60
79,66,60
81,66,60
72,66,60
75,66,60
75,67,58
74,67,58
77,67,58
79,62,55
77,62,55
75,62,55
77,62,57
68,58
67,58
67,65,59
69,65,59
71,65,59
72,65,59
74,65,59
65,65,59
68,65,59
68,63,60
67,63,60
72,63,60
72,62,60
71,62,60
72,63
75,63
73,63
73,64,55
72,64,55
72,65,56
77,65,56
75,65,56
75,66,57
77,66,57
75,66,57
74,66,57
75,66,58
81,66,58
82,66,58
75,65,58
74,66,58
68
62
62,59
63,59
65,59
66,58
63,58
65,58
65,56
59,56
59,54
70,58,54
71,63,54
70,63,54
68,63,54
70,63,54
70,63
82,63
82,64,55
83,64,55
82,64,55
80,64,55
82,64,55
73,64,55
73,64,56
71,64,56
70,64,56
70,56
71,56
73,65,56
71,65,56
70,65,56
71,65,56
71,65
83,65
83,66,57
76,66,57
75,66,57
74,66,57
75,66,57
85,66,57
84,66,57
84,66,58
75,66,58
74,58
71,58
71,67,58
70,67,58
76,67
75,67
75,68,58
74,68,58
77,68,58
80,68,58
83,68,62
82,68,62
82,68,58
80,68,58
78,68,58
77,68,58
75,68,58
74,68,58
74,68,63
75,67,63
75,65,63
67
67,65
69,65
71,65
72,63
65,63
68,63
68,62
67,62
65,60
67,65,60
68,63,60
67,63,60
66,63,60
67,63,60
67
75
75,67,60
74,67,60
72,67,60
70,67,60
68,65,60
67,65,60
67,63,60
66,63,60
66,62,60
65,62,60
67,62,59
65,62,59
64,62,59
65,62,59
73
73,65,58
72,65,58
70,65,58
68,65,58
66,63,58
65,63,58
65,61,58
64,61,58
64,60,58
63,60,58
65,60,57
63,60,57
62,60,57
63,60,57
72
72,63,56
70,63,56
68,62,56
67,62,56
66,60,56
75,60,56
75,58,55
74,58,55
73,58,55
73,57,55
74,57,55
63,57,54
62,57,54
62
64,62
66,62
67,62
69,60,54
70,60,54
72,60,54
74,60,54
75,58,55
74,58,55
79,58,55
79,57,48
78,57,48
81,57,48
81,50,46
74,50,46
75,54,46
74,54,46
73,54,46
74,54,46
86,54
86,55,46
84,55,46
82,55,46
81,55,46
79,55,46
86,55,46
77,55,46
77,56,47
75,56,47
74,56,47
72,56,47
74,47
80,47
79,50
77,50
75,55,48
74,55,48
72,55,48
71,55,48
72,55
77,55
75,55
74,55
72,57,48
70,57,48
69,57,48
67,57,48
69,57,48
74,57,48
72,57,48
70,57,48
69,58,49
67,58,49
66,58,49
64,58,49
66,49
70,49
69,52
67,52
66,57,50
64,57,50
62,57,50
61,57,50
62,57
67,57
66,57
64,57
62,58,50
60,58,50
58,58,50
57,58,50
58,58,50
63,58,50
62,58,50
60,58,50
58,60,50
57,60,50
55,60,50
54,60,50
54,60,55
55,60,55
55,58,55
55,57,55
58,55
58,50
43
57
58
60
62
81,62
82,65,62
81,65,62
80,65,62
81,65,62
75,65
74,65
74,66,60
76,66,60
78,66,60
79,66,60
81,66,60
72,66,60
75,66,60
75,67,58
74,67,58
77,67,58
79,62,55
77,62,55
75,62,55
77,62,57
68,58
67,58
67,65,59
69,65,59
71,65,59
72,65,59
74,65,59
65,65,59
68,65,59
68,63,60
67,63,60
72,63,60
72,62,60
71,62,60
72,63
75,63
73,63
73,64,55
72,64,55
72,65,56
77,65,56
75,65,56
75,66,57
77,66,57
75,66,57
74,66,57
75,66,58
81,66,58
82,66,58
75,65,58
74,66,58
68
62
62,59
63,59
65,59
66,58
63,58
65,58
65,56
59,56
59,54
70,58,54
71,63,54
70,63,54
68,63,54
70,63,54
70,63
82,63
82,64,55
83,64,55
82,64,55
80,64,55
82,64,55
73,64,55
73,64,56
71,64,56
70,64,56
70,56
71,56
73,65,56
71,65,56
70,65,56
71,65,56
71,65
83,65
83,66,57
76,66,57
75,66,57
74,66,57
75,66,57
85,66,57
84,66,57
84,66,58
75,66,58
74,58
71,58
71,67,58
70,67,58
76,67
75,67
75,68,58
74,68,58
77,68,58
80,68,58
83,68,62
82,68,62
82,68,58
80,68,58
78,68,58
77,68,58
75,68,58
74,68,58
74,68,63
75,67,63
75,65,63
67
67,65
69,65
71,65
72,63
65,63
68,63
68,62
67,62
65,60
67,65,60
68,63,60
67,63,60
66,63,60
67,63,60
67
75
75,67,60
74,67,60
72,67,60
70,67,60
68,65,60
67,65,60
67,63,60
66,63,60
66,62,60
65,62,60
67,62,59
65,62,59
64,62,59
65,62,59
73
73,65,58
72,65,58
70,65,58
68,65,58
66,63,58
65,63,58
65,61,58
64,61,58
64,60,58
63,60,58
65,60,57
63,60,57
62,60,57
63,60,57
72
72,63,56
70,63,56
68,62,56
67,62,56
66,60,56
75,60,56
75,58,55
74,58,55
73,58,55
73,57,55
74,57,55
63,57,54
62,57,54
62
64,62
66,62
67,62
69,60,54
70,60,54
72,60,54
74,60,54
75,58,55
74,58,55
79,58,55
79,57,48
78,57,48
81,57,48
81,50,46
74,50,46
75,54,46
74,54,46
73,54,46
74,54,46
86,54
86,55,46
84,55,46
82,55,46
81,55,46
79,55,46
86,55,46
77,55,46
77,56,47
75,56,47
74,56,47
72,56,47
74,47
80,47
79,50
77,50
75,55,48
74,55,48
72,55,48
71,55,48
72,55
77,55
75,55
74,55
72,57,48
70,57,48
69,57,48
67,57,48
69,57,48
74,57,48
72,57,48
70,57,48
69,58,49
67,58,49
66,58,49
64,58,49
66,49
70,49
69,52
67,52
66,57,50
64,57,50
62,57,50
61,57,50
62,57
67,57
66,57
64,57
62,58,50
60,58,50
58,58,50
57,58,50
58,58,50
63,58,50
62,58,50
60,58,50
58,60,50
57,60,50
55,60,50
54,60,50
55,60,55
55,58,55
55,57,55
58,55
58,54
55
50
43
