50
55,55
57,55
59,55
60,55
62,54
60,54
59,54
57,54
62,55,54
62,57,54
67,67,59,52
69,67,57,52
71,67,55,52
72,67,55,52
74,69,55,50
72,69,55,50
71,69,55,50
69,69,55,50
69,69,54,50
69,69,55,50
69,69,54,50
52,69,48
54,69,48
74,67,55,47
74,69,55,47
74,67,47
74,65,62,47
76,64,60,48
76,62,59,48
76,60,57,48
76,71,55,48
74,69,55,50
74,69,54,50
74,69,55,50
76,67,54,50
76,67,55,50
76,67,54,50
74,69,55,50
74,69,54,50
74,69,52,50
74,69,54,50
72,66,50,50
72,67,50,43
71,67,50,43
72,67,50,43
71,67,50,43
69,67,50,43
67,67
67,62,59
67,62,57
67,67,55
69,67,54
69,67,55
71,67,52
72,67,50
72,67,52
74,69,54
72,69,54
71,69,54
69,69,54
74,74,69,59
79,74,67,52
78,72,69,52
76,71,67,52
74,71,66,54
74,71,66,55
74,69,64,57
73,69,64,57
74,69,64,57
73,69,64,57
71,69,62,57
73,69,62,57
69,69,61,57
69,69,61,55
71,54
73,52
81,74,54,54
81,76,55,54
81,78,57,50
81,74,54,50
83,71,55,55
83,74,54,55
83,79,52,43
83,78,50,43
81,76,49,45
83,76,50,45
83,74,50,45
81,74,52,45
81,73,52,45
79,69,76,49,45
78,69,76,50,38
78,69,74,50,38
76,67,74,50,38
76,67,73,50,38
74,66,74,50
50
55,55
57,55
59,55
60,55
62,54
60,54
59,54
57,54
62,55,54
62,57,54
67,67,59,52
69,67,57,52
71,67,55,52
72,67,55,52
74,69,55,50
72,69,55,50
71,69,55,50
69,69,55,50
69,69,54,50
69,69,55,50
69,69,54,50
52,69,48
54,69,48
74,67,55,47
74,69,55,47
74,67,47
74,65,62,47
76,64,60,48
76,62,59,48
76,60,57,48
76,71,55,48
74,69,55,50
74,69,54,50
74,69,55,50
76,67,54,50
76,67,55,50
76,67,54,50
74,69,55,50
74,69,54,50
74,69,52,50
74,69,54,50
72,66,50,50
72,67,50,43
71,67,50,43
72,67,50,43
71,67,50,43
69,67,50,43
67,67
67,62,59
67,62,57
67,67,55
69,67,54
69,67,55
71,67,52
72,67,50
72,67,52
74,69,54
72,69,54
71,69,54
69,69,54
74,74,69,59
79,74,67,52
78,72,69,52
76,71,67,52
74,71,66,54
74,71,66,55
74,69,64,57
73,69,64,57
74,69,64,57
73,69,64,57
71,69,62,57
73,69,62,57
69,69,61,57
69,69,61,55
71,54
73,52
81,74,54,54
81,76,55,54
81,78,57,50
81,74,54,50
83,71,55,55
83,74,54,55
83,79,52,43
83,78,50,43
81,76,49,45
83,76,50,45
83,74,50,45
81,74,52,45
81,73,52,45
79,69,76,49,45
78,69,76,50,38
78,69,74,50,38
76,67,74,50,38
76,67,73,50,38
74,66,74,50
81,66
78,69,62,62
81,69,66,62
78,69,62,60
81,69,66,60
74,71,67,59
76,71,62,59
78,71,62,59
79,71,62,55
76,71,67,55
81,69,64,60
79,71,59
78,69,60
76,67,57
76,66,66,59
75,66,66,59
76,66,66,59
75,66,66,59
73,64,66,59
75,64,66,59
71,63,66,59
83,57,66
76,71,67,55
83,71,67,64
76,71,67,55
83,71,67,64
75,72,66,57
76,72,66,57
78,72,67,57
79,72,67,57
81,72,66,57
79,72,64,58
78,72,64,58
79,71,63,59
78,72,64,59
76,72,66,59
75,71,59,47
76,71,59,47
78,69,59,47
75,69,59,47
76,67,59,52
76,66,57,52
76,67,59,52
76,64,55,52
76,57,50
76,59,50
76,60,48
74,60,48
78,62,48
76,62,48
79,64,60
78,64,60
81,66,60
74,67,67,59
74,67,66,59
74,67,64,59
74,67,62,59
72,67,60
74,67,59
76,72,57
78,72,69,57
79,74,69,57
81,72,64,57
79,71,62,59
79,71,64,60
79,69,66,62
78,69,66,62
79,69,66,62
78,69,66,62
76,69,66,62
78,69,66,62
74,71,67,62
72,67,62
74,66,60
74,66,62
83,71,62,55
84,69,62,57
84,71,62,57
86,67,62,59
83,55,62
84,64,60
83,76,64,60
83,74,64,60
81,72,64,60
79,76,64,61
78,69,62,62
78,74,62,62
79,72,64,62
79,71,64,62
81,72,62,50
81,69,62,50
78,74,60,50
79,74,59,55
79,72,57,55
79,74,57,55
79,71,55,43
81,66
78,69,62,62
81,69,66,62
78,69,62,60
81,69,66,60
74,71,67,59
76,71,62,59
78,71,62,59
79,71,62,55
76,71,67,55
81,69,64,60
79,71,59
78,69,60
76,67,57
76,66,66,59
75,66,66,59
76,66,66,59
75,66,66,59
73,64,66,59
75,64,66,59
71,63,66,59
83,57,66
76,71,67,55
83,71,67,64
76,71,67,55
83,71,67,64
75,72,66,57
76,72,66,57
78,72,67,57
79,72,67,57
81,72,66,57
79,72,64,58
78,72,64,58
79,71,63,59
78,72,64,59
76,72,66,59
75,71,59,47
76,71,59,47
78,69,59,47
75,69,59,47
76,67,59,52
76,66,57,52
76,67,59,52
76,64,55,52
76,57,50
76,59,50
76,60,48
74,60,48
78,62,48
76,62,48
79,64,60
78,64,60
81,66,60
74,67,67,59
74,67,66,59
74,67,64,59
74,67,62,59
72,67,60
74,67,59
76,72,57
78,72,69,57
79,74,69,57
81,72,64,57
79,71,62,59
79,71,64,60
79,69,66,62
78,69,66,62
79,69,66,62
78,69,66,62
76,69,66,62
78,69,66,62
74,71,67,62
72,67,62
74,66,60
74,66,62
83,71,62,55
84,69,62,57
84,71,62,57
86,67,62,59
83,55,62
84,64,60
83,76,64,60
83,74,64,60
81,72,64,60
79,76,64,61
78,69,62,62
78,74,62,62
79,72,64,62
79,71,64,62
81,72,62,50
81,69,62,50
78,74,60,50
79,74,59,55
79,72,57,55
79,74,57,55
79,71,55,43
