
64
71,62
71,61
78,62,59
78,71,59
78,64,61
78,70,61
78,71,62
78,66,62
76,73,58
78,73,58
79,64,58
78,62,59
78,71,59
78,64,61
78,70,61
78,71,62
78,66,62
76,73,58
78,73,58
79,64,58
78,62,59
78,71,59
79,64,52
79,73,52
78,62,54
78,71,54
76,61,42
76,70,42
74,71,47
74,66,47
73,64,47
74,66,47
71,62
71,66
67,59
71,59
65,59
73,59
73,58
66,58
66
64
63,57
64,57
63,57
71,57
71,56
64,56
64
62
61,55
62,55
61,55
70,55
71,54
74,54
73,52
71,52
70,55
71,55
73,54
71,54
70,56
68,56
66,58
64,58
71,62,59
71,61,59
78,62,47
78,71,47
78,64,49
78,70,49
78,71,50
78,66,50
76,73,46
78,73,46
79,64,46
78,62,47
78,71,47
78,64,49
78,70,49
78,71,50
78,66,50
76,73,46
78,73,46
79,64,46
78,62,47
78,71,47
79,64,52
79,73,52
78,62,54
78,71,54
76,61,42
76,70,42
74,71,47
74,66,47
73,64,47
74,66,47
71,62
71,62,59
78,62,57
78,62,59
79,62,52
79,71,52
79,71,40
79,62,40
79,62
79,71
79,71,40
79,62,40
79,62,45
79,61,45
88,61,45
88,59,45
88,61
88,61,57
79,61,55
79,61,57
78,61,50
78,69,50
78,69,38
78,60,38
78,60
78,69
78,69,38
78,60,38
78,60,43
78,59,43
86,59,43
86,58,43
86,59
85,61
83,62,47
81,62,47
80,62,52
80,61,52
79,71
79,70
78,71,50
78,66,50
77,73
77,71
76,73,46
76,67,46
67,76
67,74
66,76
70,76
73,71,54
76,70,54
74,71,59
74,66,59
74,67,57
76,66,57
78,64,55
76,64,55
78,64,55
76,64,55
78,62,55
76,62,55
78,62,55
76,62,55
78,61,43
76,61,43
78,61,43
76,61,43
74,59,43
76,59,43
78,58,42
78,61,42
78,66,54
78,70,54
73,58
71,58
76,71,54
76,70,54
75,71,59
78,69,59
78,67,59
72,66,47
72,69,47
72,63,47
71,66,47
81,66,47
79,66,47
78,63,47
78,63,40
78,64,40
79,64,52
79,59,52
59,55
61,55
63,55
74,64,52
74,66,52
74,67,52
73,67,57
76,73,57
68,73,45
68,76,45
69,74,45
79,74,45
78,74,45
76,73,45
76,73,38
76,74,38
78,74,50
78,70,50
70,49
71,49
71,71,50
71,66,50
72,67,52
72,72,52
75,72,54
75,71,54
76,71,55
76,62,55
79,62,52
79,61,52
82,61,54
82,78,54
86,78,56
86,76,56
85,76,58
85,70,58
76,70,54
76,71,54
74,71,59
74,66,59
73,64,55
71,62,55
74,66,52
73,64,52
71,62,54
70,61,54
71,59,47
71,62,66,47
71,62,66,59
71,64,61,59
64,61,59
