48
50
55,52
57,53
62,59,55
62,59,57
62,59,55
62,59,53
64,60,52
69,65,62,50
69,65,64,53
69,65,62,53
69,65,60,52
71,67,59,50
72,69,57,48
72,71,60,48
72,69,60,48
72,67,59,48
74,65,57,48
76,64,55,48
77,67,55,50
76,67,55,50
74,65,55,52
72,64,55,53
71,62,55,55
74,62,57,55
72,62,59,55
71,62,60,55
69,62,62,53
69,64,62,52
69,65,62,50
69,67,62,52
69,69,60,53
71,69,59,55
72,69,57,57
74,69,59,55
74,69,59,53
76,67,60,52
76,65,62,50
76,64,64,48
76,65,62,48
76,65,60,48
74,67,59,55
72,69,57,55
71,71,55,55
72,69,55,53
72,67,55,52
74,65,62,50
76,64,62,50
77,62,62,50
76,62,60,52
74,62,59,52
72,69,57,53
71,69,57,53
69,69,57,53
69,67,59,55
69,65,59,55
76,64,60,57
76,64,60,59
76,64,60,60
74,65,62,59
72,65,62,57
71,67,64,55
71,67,65,53
71,67,67,52
72,69,65,50
72,69,64,48
74,71,62,47
74,72,60,45
74,74,59,43
76,72,57,43
76,71,55,43
77,69,53,50
79,67,52,52
81,65,50,53
79,64,50,55
77,62,50,55
76,60,57,57
74,59,59,57
72,57,60,57
71,57,62,59
69,57,62,59
67,64,64,60
65,65,64,60
64,67,64,60
64,69,65,59
64,69,65,57
71,71,67,55
72,71,67,53
72,71,67,52
74,71,67,50
76,72,65,50
76,72,64,50
77,74,62,50
77,74,60,52
77,74,59,52
77,74,57,53
79,72,57,53
79,71,57,53
81,69,57,53
81,67,59,52
81,65,59,50
81,64,60,48
79,64,60,48
77,64,60,48
76,64,60,48
74,65,59,50
72,65,57,50
71,67,55,52
71,67,55,53
71,67,55,55
72,65,57,55
72,64,57,55
74,62,59,43
74,62,60,45
74,62,62,47
72,64,62,48
71,64,62,48
69,65,50,50
69,67,52,50
69,69,53
71,69,55
72,57,57
74,59,57
76,60,48
76,62,48
64,64,48
65,64,50
67,55,52
69,55,52
71,55,52
71,57,53
62,59,55
62,59,57
62,59,55
62,59,53
64,60,52
69,65,62,50
69,65,64,53
69,65,62,53
69,65,60,52
71,67,59,50
72,69,57,48
72,71,60,48
72,69,60,48
72,67,59,48
74,65,57,48
76,64,55,48
77,67,55,50
76,67,55,50
74,65,55,52
72,64,55,53
71,62,55,55
74,62,57,55
72,62,59,55
71,62,60,55
69,62,62,53
69,64,62,52
69,65,62,50
69,67,62,52
69,69,60,53
71,69,59,55
72,69,57,57
74,69,59,55
74,69,59,53
76,67,60,52
76,65,62,50
76,64,64,48
76,65,62,48
76,65,60,48
74,67,59,55
72,69,57,55
71,71,55,55
72,69,55,53
72,67,55,52
74,65,62,50
76,64,62,50
77,62,62,50
76,62,60,52
74,62,59,52
72,69,57,53
71,69,57,53
69,69,57,53
69,67,59,55
69,65,59,55
76,64,60,57
76,64,60,59
76,64,60,60
74,65,62,59
72,65,62,57
71,67,64,55
71,67,65,53
71,67,67,52
72,69,65,50
72,69,64,48
74,71,62,47
74,72,60,45
74,74,59,43
76,72,57,43
76,71,55,43
77,69,53,50
79,67,52,52
81,65,50,53
79,64,50,55
77,62,50,55
76,60,57,57
74,59,59,57
72,57,60,57
71,57,62,59
69,57,62,59
67,64,64,60
65,65,64,60
64,67,64,60
64,69,65,59
64,69,65,57
71,71,67,55
72,71,67,53
72,71,67,52
74,71,67,50
76,72,65,50
76,72,64,50
77,74,62,50
77,74,60,52
77,74,59,52
77,74,57,53
79,72,57,53
79,71,57,53
81,69,57,53
81,67,59,52
81,65,59,50
81,64,60,48
79,64,60,48
77,64,60,48
76,64,60,48
74,65,59,50
72,65,57,50
71,67,55,52
71,67,55,53
71,67,55,55
72,65,57,55
72,64,57,55
74,62,59,43
74,62,60,45
74,62,62,47
72,64,62,48
71,64,62,48
69,65,50,50
69,67,52,50
69,69,53
71,69,55
72,57,57
74,59,57
76,60,48
76,62,48
64,64,48
65,64,50
67,55,52
69,55,52
71,55,52
71,57,53
62,59,55
62,59,57
62,59,55
62,59,53
64,60,52
69,65,62,50
69,65,64,53
69,65,62,53
69,65,60,52
71,67,59,50
72,69,57,48
72,71,60,48
72,69,60,48
72,67,59,48
74,65,57,48
76,64,55,48
