67
72,60
72,65,57
69,65,62,50
71,62,62,55
71,64,59,55
67,64,60,52
69,60,60,53
65,62,57,53
65,59,59,50
64,59,59,50
65,59,59,50
67,59,55,52
67,57,55,52
67,59,55,52
72,60,55,48
72,60,53,48
72,60,55,48
72,65,57,48
72,65,57,47
72,65,57,48
69,65,62,50
71,62,62,55
71,64,59,55
67,64,60,52
69,60,60,53
65,62,57,53
65,59,59,50
64,59,59,50
65,59,59,50
67,59,55,52
67,57,55,52
67,59,55,52
72,60,55,48
72,60,53,48
72,60,55,48
72,65,57,48
72,65,57,47
72,65,57,48
69,65,62,50
71,62,62,55
71,64,59,55
67,64,60,52
69,60,60,53
65,62,57,53
65,59,59,50
64,59,59,50
65,59,59,50
67,59,55,52
67,57,55,52
67,59,55,52
67,60,55,48
