53
60,48
63,48,55
70,58,55,51
65,58,58,49
65,61,56,49
68,60,56,53
67,60,60,51
67,63,58,55
70,61,61,55
70,61,61,56
70,61,61,55
68,65,61,53
68,65,63,53
68,65,61,53
72,65,60,48
72,67,60,48
72,65,60,48
72,63,55,48
73,63,55,48
72,63,55,48
70,58,55,51
65,58,58,49
65,61,56,49
68,60,56,53
67,60,60,51
67,63,58,55
70,61,61,55
70,61,61,56
70,61,61,55
68,65,61,53
68,65,63,53
68,65,61,53
72,65,60,48
72,67,60,48
72,65,60,48
72,63,55,48
73,63,55,48
72,63,55,48
70,58,55,51
65,58,58,49
65,61,56,49
68,60,56,53
67,60,60,51
67,63,58,55
70,61,61,55
70,61,61,56
70,61,61,55
68,65,61,53
68,65,63,53
68,65,61,53
68,65,60,53
