
55
54
52
50
50,47
52,48
54,50
55,55,43
55,59,55
57,57,54
60,55,52
62,59,62,50
62,59,50,47
60,57,52,48
57,57,54,50
55,59,55,43
62,59,55,59,55
57,60,57,54
64,60,60,55,52
66,62,62,59,50
67,67,62,59,50,47
60,52,57,48
64,60,52,57,48
66,62,57,57,54,50
66,60,57,57,54,50
64,59,59,55,55,43
64,60,59,55,55,43
62,62,59,55,59,55
57,60,57,54
66,57,60,57,54
67,64,60,60,55,52
69,64,60,60,55,52
71,66,62,59,62,50
69,66,62,59,62,50
67,67,62,59,50,47
60,52,57,48
64,60,52,57,48
66,62,57,57,54,50
66,60,57,57,54,50
64,59,59,55,55,43
64,60,59,55,55,43
62,62,59,55,59,55
57,60,57,54
66,57,60,57,54
67,64,60,60,55,52
69,64,60,60,55,52
71,66,62,59,62,50
69,66,62,59,62,50
67,67,62,59,50,47
60,52,57,48
64,60,52,57,48
66,62,57,57,54,50
66,60,57,57,54,50
67,62,59,62,55,43
