50
57
53
50
49
50
52
53
55
53
52
57,50
57,52
57,50
57,48
62,48
62,50
62,48
62,47
60,47
60,45
60,47
60,48
57,50
57,52
57,53
57,50
56,52
56,53
56,52
56,50
57,48
57,47
59,45
59,44
60,45
60,57
60,56
60,57
60,50
62,50
60,55
58,55
62,57,55
62,57,53
62,57,52
62,57,50
69,57,49
69,67,49
69,65,49
69,64,49
65,62,50
65,60,50
65,58,38
65,57,38
62,58,43
62,57,45
62,55,46
62,53,46
61,52,46
61,52,45
61,52,43
62,41
62,57,41
64,59,40
64,61,40
65,62,38
65,62,50
65,62,52
65,62,53
65,62,55
67,62,58
65,61,57
64,61,55
69,62,62,53
69,64,62,55
69,65,62,53
69,65,53
69,67,64,52
74,69,65,50
74,69,65,52
74,69,65,53
74,69,65,55
72,69,64,57
72,67,64,57
72,65,60,57
72,64,60,57
69,64,60,53
69,65,60,53
69,64,57,53
69,62,57,53
68,62,59,53
68,64,59,52
68,65,59,50
69,64,48
69,64,52,48
71,62,54,47
71,62,56,47
72,60,57
72,60,57,45
72,64,57,47
72,64,57,48
72,65,57,50
74,65,57,50
72,64,56,52
71,64,56,52
69,64,57,53
69,61,57,53
69,62,59,53
69,64,61,53
69,65,62,53
69,65,62,52
69,64,55,50
69,64,55,49
69,64,55,50
69,62,53,50
69,61,52,50
69,62,53,50
69,62,53,48
69,60,54,46
69,60,54,45
62,60,54,46
62,60,50,46
62,58,52,46
62,57,54,46
62,58,55,46
62,58,55,45
62,57,48,43
62,57,48,42
62,57,48,43
62,54,45,43
62,55,46,43
62,57,48,43
62,58,50,43
62,58,49,43
62,57,50,43
62,57,50,41
62,56,52,40
61,56,52,40
62,40
65,40
64,40
62,40
68,40
69,40
71,40
72,40
74,40
65,40
65,59,56,52
64,59,56,52
62,59,56,52
61,59,56,52
62,59,56,52
61,57,52,45
61,64,52,45
65
67
69
69,57
69,59
69,61
65,62
65,62,50
65,60,52
65,60,53
62,60,55
62,60,57
62,58,55
62,58,53
61,58,52
61,55,58
61,53,57
61,52,55
62,53,57
62,52,57
64,50,57
64,49,57
69,65,57,50
69,65,62,50
69,65,61,53
69,65,62,53
74,65,56,47
74,69,56,47
74,68,59,52
74,66,59,52
72,64,59,45
72,64,52,45
72,64,57,45
72,64,55,45
69,64,53,50
69,57,53,50
69,62,53,50
69,60,53,50
68,59,53,50
68,59,53,47
68,59,52,52
68,59,52,50
69,48
69,64,48
71,66,47
71,68,47
72,69,45
72,69,67,45
72,69,65
72,69,64
72,69,63
74,69,63
72,68,64
71,68,64
72,69,57
72,67,57
81,65,57
81,64,57
81,62,59
79,62,59
77,67,61
76,67,61
76,65,62,50
77,65,62,50
76,65,62,50
74,65,62,50
74,64,57
76,64,57
74,64,57
73,64,57
74,62,53
74,62,57,53
74,62,59,53
74,62,61,53
62,50
64,50
65,50
62,50
64,49
70,64,49
69,52,49
67,52,49
65,53,50
64,53,50
62,55,52
61,55,52
62,57,53
81,62,57,53
80,74,53
81,74,53
74,71,53
74,71,55
79,73,53
79,73,52
79,74,50
77,74,50
76,62
74,62
76,62
76,60
81,72,58
81,72,57
74,72,58
74,70,58
76,69,59,55
76,67,59,55
64,69,61,55
64,69,61,53
65,69,62,52
65,69,62,50
64,68,62,52
64,68,60,52
76,72,59,52
76,72,57,52
76,66,59
74,66,59
72,68,64
71,68,64
72,69,57
74,70,57
76,69,57
76,67,57
76,65,62
77,69,62
76,67,62
74,65,62
81,65,60
81,64,60
66,60
68,60
69,57
71,57
72,57
69,57
71,56
71,56,53
